"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "HTML", "Vue", "CSS", "comment", "blank", "total"
"c:\Users\arend\bakalarka\bakalarka\apps\server\routes\workDays.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 5, 10
"c:\Users\arend\bakalarka\bakalarka\apps\server\routes\workPlaces.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 5, 10
"c:\Users\arend\bakalarka\bakalarka\apps\server\services\attendances.js", "JavaScript", 0, 0, 99, 0, 0, 0, 0, 0, 25, 124
"c:\Users\arend\bakalarka\bakalarka\apps\server\services\customers.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\arend\bakalarka\bakalarka\apps\server\services\employees.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 8, 58
"c:\Users\arend\bakalarka\bakalarka\apps\server\services\equipment.js", "JavaScript", 0, 0, 43, 0, 0, 0, 0, 0, 8, 51
"c:\Users\arend\bakalarka\bakalarka\apps\server\services\index.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\arend\bakalarka\bakalarka\apps\server\services\notifications.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 6, 37
"c:\Users\arend\bakalarka\bakalarka\apps\server\services\test.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\arend\bakalarka\bakalarka\apps\server\services\vehicles.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 9, 51
"c:\Users\arend\bakalarka\bakalarka\apps\server\services\workDays.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\arend\bakalarka\bakalarka\apps\server\services\workPlaces.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\arend\bakalarka\bakalarka\apps\server\src\helpers\index.js", "JavaScript", 0, 0, 280, 0, 0, 0, 0, 0, 4, 284
"c:\Users\arend\bakalarka\bakalarka\lerna.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 3, 0, 7
"c:\Users\arend\bakalarka\bakalarka\package-lock.json", "JSON", 12920, 0, 0, 0, 0, 0, 0, 0, 1, 12921
"c:\Users\arend\bakalarka\bakalarka\package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\arend\bakalarka\bakalarka\public\index.html", "HTML", 0, 0, 0, 0, 18, 0, 0, 1, 1, 20
"Total", "-", 25154, 23, 1122, 5, 31, 2564, 59, 29, 419, 29406
